N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
100,const_low,0.0759660795331001,NA,0.01,0.01,0.01,149.72,0,144.28,4656,0.509251700680272,1,0.6744356810040145,0.7025939835621284,149.72,294,72.82090430736542,7.892233330228872,0,7.892233330228872,0,0.02684433105520026,0,0.02320265335214355,0.0189079542321319,7.892233330228872,16.497448167535115,50,0.5092517006802721,5.439999999999998
100,const_low,0.0759660795331001,NA,0.03,0.03,0.03,130.34,0,163.66,4656,0.44333333333333336,1,0.6141491663873221,0.6543307244490356,130.34,294,72.29309695720673,4.757850655195354,0,4.757850655195354,0,0.0161831654938617,0,0.015430579924891689,0.012206542429755921,4.757850655195354,13.813320723062946,50,0.44333333333333336,-33.31999999999999
100,const_low,0.0759660795331001,NA,0.05,0.05,0.05,120.22,0,173.78,4656,0.40891156462585027,1,0.5802035344852204,0.6276905114219159,120.22,294,72.94575168609619,5.690270966612169,0,5.690270966612169,0,0.01935466315174212,0,0.01938577509648979,0.015160954216877883,5.690270966612169,16.693892147010843,50,0.4089115646258503,-53.56
100,const_low,0.0759660795331001,NA,0.07,0.07,0.07,111.98,0,182.02,4656,0.38088435374149665,1,0.5514613887650439,0.6053122497287324,111.98,294,72.14341361045837,4.718569482288427,0,4.718569482288427,0,0.01604955606220548,0,0.016807160166131648,0.01303820129262818,4.718569482288427,13.75815415627934,50,0.3808843537414966,-70.04
100,const_low,0.0759660795331001,NA,0.09,0.09,0.09,111.14,0.06,182.86,4655.94,0.3780272108843537,0.9995588235294117,0.5482558208722622,0.6027488872120054,111.2,294,72.33225011825562,5.996631707611757,0.4242640687119285,5.996631707611757,0.4242640687119285,0.020396706488475306,0.003119588740528922,0.02087312847431773,0.015903315934788425,6.230274996387578,16.628525911079123,50,0.3782312925170068,-71.72000000000001
100,const_low,0.0759660795331001,NA,0.1,0.1,0.1,112.62,0.18,181.38,4655.82,0.38306122448979596,0.9985437549669688,0.5531447833521548,0.6063520386007606,112.8,294,72.29921545028687,7.9639237585911795,0.5225526045191966,7.9639237585911795,0.5225526045191966,0.02708817604962986,0.004102366244703841,0.027558903676322025,0.02111468314913606,8.204030865920702,14.042233881081064,50,0.3836734693877551,-68.75999999999999
100,const_low,0.0759660795331001,NA,0.15,0.15,0.15,143.64,0.42,150.36,4655.58,0.48857142857142855,0.9972972582553445,0.6552854241729396,0.6866241592838489,144.06,294,71.13560801029206,8.618347774796915,0.991597350804473,8.618347774796915,0.991597350804473,0.029314108077540528,0.0059301570843146596,0.02544777070789544,0.020032160028055038,9.172741339069221,16.584654854307605,50,0.49,-6.720000000000027
100,const_low,0.0759660795331001,NA,0.2,0.2,0.2,173.56,0.42,120.44,4655.58,0.5903401360544217,0.9976948830755873,0.7413417236705957,0.7574137613696079,173.98,294,68.16387244224548,8.357228326791272,0.7848046682754497,8.357228326791272,0.7848046682754497,0.02842594668976624,0.0042610929956570995,0.022012810665622922,0.018224865835145376,8.744654343759777,14.299424415254487,50,0.5917687074829932,53.120000000000005
100,const_low,0.0759660795331001,NA,0.25,0.25,0.25,190.94,0.36,103.06,4655.64,0.6494557823129252,0.998194826550782,0.7866829513168618,0.7962167415526991,191.3,294,71.82954829692841,6.463113548027288,0.8514093957572194,6.463113548027288,0.8514093957572194,0.021983379415058773,0.004074725023396224,0.015540498448651907,0.013305873118084321,6.893504780825593,15.991888440534314,50,0.6506802721088436,87.88
100,const_low,0.0759660795331001,NA,0.3,0.3,0.3,204.06,0.46,89.94,4655.54,0.6940816326530612,0.9978247646283495,0.8185040142846304,0.8241221129656165,204.52,294,71.7462359714508,5.849856094514686,0.9082389328715619,5.849856094514686,0.9082389328715619,0.019897469709233697,0.004237292246074253,0.01312960034333606,0.011510576689122977,6.338222244800965,13.762009577898985,50,0.6956462585034014,114.12
100,const_low,0.0759660795331001,NA,0.4,0.4,0.4,222.86,0.42,71.14,4655.58,0.7580272108843538,0.9981559951254974,0.8615748536661946,0.8631644171041322,223.28,294,71.48391918182372,4.5892954419018634,0.9055385138137416,4.5892954419018634,0.9055385138137416,0.015609848441843004,0.003912507096354062,0.009758520642976293,0.008970630797398875,4.919930313095327,16.897296559261495,50,0.7594557823129252,151.72000000000003
