"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
85,99,0.01,TRUE,2,0.0130000000000052
85,199,0.005,TRUE,2,0.0120000000000005
85,999,0.001,TRUE,2,0.0150000000000148
85,4999,2e-04,TRUE,2,0.0260000000000105
86,99,0.01,TRUE,0,0.0120000000000005
86,199,0.005,TRUE,0,0.0120000000000005
86,999,0.001,TRUE,0,0.0149999999999864
86,4999,2e-04,TRUE,0,0.025999999999982
87,99,0.01,TRUE,0,0.0120000000000005
87,199,0.005,TRUE,0,0.0109999999999957
87,999,0.001,TRUE,0,0.01400000000001
87,4999,2e-04,TRUE,0,0.0269999999999868
88,99,0.01,TRUE,1,0.0129999999999768
88,199,0.005,TRUE,1,0.0120000000000005
88,999,0.001,TRUE,1,0.0150000000000148
88,4999,6e-04,TRUE,1,0.0260000000000105
89,99,0.01,TRUE,5,0.0130000000000052
89,199,0.005,TRUE,5,0.0120000000000005
89,999,0.001,TRUE,5,0.01400000000001
89,4999,2e-04,TRUE,5,0.0250000000000057
90,99,0.01,TRUE,1,0.0109999999999957
90,199,0.005,TRUE,1,0.0109999999999957
90,999,0.001,TRUE,1,0.0129999999999768
90,4999,2e-04,TRUE,1,0.0260000000000105
91,99,0.01,TRUE,1,0.0109999999999957
91,199,0.005,TRUE,1,0.0120000000000005
91,999,0.001,TRUE,1,0.0150000000000148
91,4999,2e-04,TRUE,1,0.0260000000000105
92,99,0.05,TRUE,0,0.0110000000000241
92,199,0.035,TRUE,0,0.0109999999999957
92,999,0.039,TRUE,0,0.0139999999999816
92,4999,0.037,TRUE,0,0.0260000000000105
93,99,0.01,TRUE,2,0.0120000000000005
93,199,0.005,TRUE,2,0.0129999999999768
93,999,0.003,TRUE,2,0.0150000000000148
93,4999,2e-04,TRUE,2,0.0260000000000105
94,99,0.01,TRUE,0,0.0120000000000005
94,199,0.005,TRUE,0,0.0120000000000005
94,999,0.003,TRUE,0,0.01400000000001
94,4999,0.0018,TRUE,0,0.025999999999982
95,99,0.01,TRUE,1,0.0120000000000005
95,199,0.005,TRUE,1,0.0120000000000005
95,999,0.001,TRUE,1,0.0139999999999816
95,4999,2e-04,TRUE,1,0.025999999999982
96,99,0.01,TRUE,1,0.0120000000000005
96,199,0.005,TRUE,1,0.0120000000000005
96,999,0.001,TRUE,1,0.01400000000001
96,4999,2e-04,TRUE,1,0.0529999999999973
97,99,0.01,TRUE,0,0.0120000000000005
97,199,0.005,TRUE,0,0.0120000000000005
