"scenario","replicate","procedure","global_reject","tpr","precision","fdp","fwer","set_size_error","jaccard","n_selected"
"localized_positive",74,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",75,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",75,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",75,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",76,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",76,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",76,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",77,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",77,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",77,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",78,"unadjusted",TRUE,1,0.857142857142857,0.142857142857143,1,1,0.857142857142857,7
"localized_positive",78,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",78,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",79,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",79,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",79,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",80,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",80,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",80,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",81,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",81,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",81,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",82,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",82,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",82,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",83,"unadjusted",TRUE,0.166666666666667,0.5,0.5,1,-4,0.142857142857143,2
"localized_positive",83,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",83,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",84,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",84,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",84,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",85,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",85,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",85,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",86,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",86,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",86,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",87,"unadjusted",TRUE,0.333333333333333,0.5,0.5,1,-2,0.25,4
"localized_positive",87,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",87,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",88,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",88,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",88,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",89,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",89,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",89,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",90,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",90,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",90,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",91,"unadjusted",TRUE,0.333333333333333,0.666666666666667,0.333333333333333,1,-3,0.285714285714286,3
"localized_positive",91,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",91,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",92,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",92,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",92,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",93,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",93,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",93,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",94,"unadjusted",TRUE,0.333333333333333,0.5,0.5,1,-2,0.25,4
"localized_positive",94,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",94,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",95,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",95,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",95,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",96,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",96,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",96,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",97,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",97,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",97,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",98,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",98,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",98,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",99,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",99,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",99,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",100,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",100,"Holm",TRUE,0,0,1,1,-5,0,1
"localized_positive",100,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",101,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",101,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",101,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",102,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",102,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",102,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",103,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",103,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",103,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",104,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",104,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",104,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",105,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",105,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",105,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",106,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",106,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",106,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
